Recipe_ID,Title_R_name,Image_URL,Content,Publish_date,Recipe_category_ID
12,紹興醉蝦,26_ECKPGoqDRo.jpg,嚴選活凍鮮蝦，並以多種安心中藥材小火熬煮的藥膳湯頭浸泡而成，鮮蝦紮實的口感加上紹興藥膳的濃濃酒香，在口中交織。解凍後無需加熱，冰涼吃口感更Q彈，實屬一道最佳的下酒菜。,2021/12/12,1
13,紅紋鵝掌鮑魚,16_goZrcehTMD.jpeg,使用自家契養的放山古早雞骨與香甜甘潤的桂圓肉長時間熬煮成高湯底後，加入本土鵝掌及高檔鮑魚以炆火慢慢燉煮而成。鮑魚的Q彈加上鵝掌的滑嫩，滷至入味後完成這道工序繁複的年節大菜，每一口都是濃郁香滑的滋味。再搭配新鮮蔬菜一起食用，清爽解膩，澎湃上桌且美味滿分！,2022/10/13,1
14,紅燒獅子頭,17_DJCsXdXtzp.jpeg,以特規的去筋去油台灣豬後腿肉適度添加洋蔥丁及荸薺，增加風味及中和肉的口感。全程純手工製作，外表紮實，口感豐富。,2023/11/14,1
15,野生白鯧米粉,27_yyierqDGAY.jpeg,以當季現流白鯧為主角，嚴格挑選漁民出海捕獲的野生白鯧，經去除內臟等作業後急速冷凍，封存野生漁獲的原始鮮美風味！以放山雞骨架、柴魚片及新鮮文蛤汁做為高湯底，搭配炸白鯧口感細緻鮮甜，及當令蔬菜等安心食材，最後加入100%純米米粉及自製油蔥酥，吸收所有食材的鮮香精華，每個入口都是滿足，且寓意圓滿，象徵著未來的一年運勢昌盛！,2021/12/15,1
16,野生烏魚子(頂級),28_SsjFmnudSH.jpeg,日本人將烏魚子、鵝肝醬及魚子醬並列為世界三大美食，對日本人而言，烏魚子與寶石同等尊貴。一向被日本人視為珍寶的烏魚子，其實為台灣的名產，每年冬季冬至過後，太平洋的烏魚會洄遊南下產卵，經過台灣海峽，從鹿港附近靠近台灣沿岸，一直沿著海岸線南下到屏東南方外海交配後折返北方。烏魚貼近台灣沿岸期間，其卵巢正值交配前最成熟階段，所以台灣產的烏魚子特別肥大。,2022/10/16,5
17,海菜魩仔魚湯,19_RPgVdeuguT.jpeg,在家也可以享受，海菜魩仔魚湯一起簡單快速上桌做做看吧。,2021/9/28,3
18,酸菜白肉鍋,39_ZhBZgMgyCK.jpg,嚴選安心無農藥殘留的山東大白菜做為原料，堅持遵循古法製作經過整菜、殺青、平鋪、壓石、醱酵，完全不添加醋酸，堅持以最天然的方式產生乳酸菌醱酵，並依照天氣的溫度變化來決定熟成程度，通常冬天需要4至5個星期，才能做出香、脆、甘、酸的東北酸白菜。,2021/1/18,1
19,涼拌柚子沙拉,24_MqmXKRcJmN.png,飽滿鮮香酸甜的柚子果肉，搭配著新鮮生菜一起食用，淋上柚子汁與和風醬混合的特調柚香醬汁，柚汁加柚肉一次滿足，多層次風味令人著迷。,2023/6/19,6
20,白菜豆腐卷,8_ajZzXAmxVP.png,冬日盛產的大白菜清甜，用來炒香菇、煮湯都好，白菜豆腐卷是簡單的中式麵食，吃起來爽口，可以當早餐，也可以當點心。,2021/1/20,1
21,藍靛果汁氣泡飲,48_TCaRMYbfKm.jpg,運用藍靛果醬的甜與檸檬汁搭配，再加上氣泡水的口感，酸酸甜甜的好解膩！,2021/1/2,4
22,蔬菜濃湯,41_WmIEebTguK.jpeg,有時候蔬菜一次用不完，可以切下邊邊角角或菜梗煮濃湯，香甜好喝，又多出一道菜，完全不浪費。以下是建議蔬菜，可自由選配。,2023/1/7,3
23,麻婆豆腐,29_dGJSoEiUAK.jpeg,有時候難免想吃重口味的食物，麻婆豆腐就是一道辛香下飯的菜，有了它，多吃兩口飯。,2023/8/23,1
24,高麗菜飯,22_eqRcvpvAFZ.jpg,利用冬天盛產的高麗菜、菇類炒香，加入白飯，做成一道高麗菜飯，放在電鍋保溫，隨時都可享有鮮甜熱呼呼的菜飯。,2022/10/24,1
25,臭豆腐粉絲煲,20_XkrEhRzJUt.jpg,臭豆腐帶著濃郁的鹹味和特殊的發酵味，其湯汁加上香菇、金針菇等菇類長時間熬煮所帶來的鮮甜滋味，更讓每一口冬粉都充滿多層次的美味，一口臭豆腐再加上一口冬粉，就是超級日常卻也超級滿足的美味享受～,2021/12/25,1
26,馬鈴薯紅蘿蔔燒雞翅,21_DSUqkeSzWE.jpg,馬鈴薯紅蘿蔔燒雞翅是一道美味的燒烤菜品，融合了雞翅的嫩滑、馬鈴薯的綿密口感和紅蘿蔔的甜脆。這道菜的特色在於將多種食材的風味融合在一起，創造出濃郁的口感和美味。,2021/5/3,1
27,蒜香奶油蝦,37_RnGcPMsjlw.jpg,蒜香奶油白蝦是一道美味可口的海鮮菜品，以新鮮的白蝦為主要食材，搭配濃郁的奶油和香氣十足的蒜味。這道菜結合了蝦的嫩滑口感、奶油的濃郁香氣以及蒜的獨特風味，呈現出豐富的口味層次。,2022/5/3,1
28,蒜香奶油醬佐牛排,38_mwcopfbbTG.png,蒜香奶油醬佐牛排是一道經典的牛排料理，結合了牛排的肉質鮮嫩與奶油蒜香醬的濃郁風味。這道菜以嫩煎或烤熟的牛排為基礎，搭配上香濃的奶油和蒜末調製的醬汁，味道豐富且美味。,2023/11/22,1
29,藜麥飯佐彩蔬鱸魚,42_vpXOAEMBZR.png,藜麥飯佐彩蔬鱸魚是一道營養豐富的料理，以藜麥飯為主，搭配多彩的蔬菜和鱸魚，味道豐富而健康。,2021/10/5,1
30,地中海風味洋芋雞,9_nUXCjcHOkR.jpg,地中海風味洋芋雞是一道結合地中海地區特色風味的料理，主要使用洋芋和雞肉搭配各種地中海香料，呈現豐富的口感和風味。,2022/4/18,1
31,黑蒜麻油鱸魚湯,32_RsZFAwbqOU.jpg,黑蒜麻油鱸魚湯是一道以新鮮鱸魚為主要食材，加入黑蒜和麻油等調味料製作而成的湯品。這道湯結合了黑蒜的深厚風味和麻油的香氣，為鱸魚湯增添了特殊的口感和風味。,2023/6/29,3
32,冬瓜排骨湯,5_DBEbrlehGl.png,冬瓜排骨湯是一道清燉湯品，使用冬瓜和豬排骨作為主要食材，烹煮出清爽鮮美的湯汁。這道湯在中國料理中很受歡迎，尤其在夏天時因為湯汁清淡，能夠解渴消暑。,2022/11/13,3
33,蜂蜜香蒜雞翅  ,36_KSihoEthta.jpg,蜂蜜香蒜雞翅是一道美味的雞翅料理，結合了蜂蜜的甜味和香蒜的香氣，烹調出香甜多汁的雞翅。,2023/1/27,1
34,落英繽紛養生粥,34_GLxNunkcYZ.jpg,落英繽紛養生粥是一道注重健康的營養粥品，取名源自「落英繽紛」的浪漫意象。這款粥通常包含各種營養成分，如雞肉、蔬菜、薏仁、紅棗等，搭配簡單而精緻的烹調方式，味道清淡且養生。,2021/8/2,1
35,錦囊八珍舞莎莎,46_SQglzKZqeo.jpg,是一道中國菜式，主要以番茄和肉類搭配製作而成。這道菜的特色在於番茄的酸甜口感與肉類的鮮嫩搭配，呈現一道色香味俱佳的美味佳餚。,2023/1/2,1
36,嚴選養生燉湯,49_KjbjfyLKCU.jpg,嚴選養生燉湯通常指的是精心挑選高營養、低熱量的食材，搭配適量的調味料，以燉煮的方式製作而成的湯品。這樣的湯品追求均衡營養，同時注重食材的天然滋養成分。,2022/9/20,3
37,紫薯地瓜麵包,31_GzEHCHjXEQ.jpg,"
紫薯地瓜麵包是一款以紫薯和地瓜為主要成分，製作而成的麵包。這款麵包因添加了紫薯和地瓜，呈現出獨特的色澤、口感和風味，同時也增加了麵包的營養價值。",2023/8/10,5
38,田園蔬菜總匯,7_skFUyPntTL.jpg,是一道以多種新鮮蔬菜搭配而成的綜合菜品，展現豐富的色彩和口感，並提供多種營養。,2022/2/24,1
39,健康滿分-胡蘿蔔蔬果汁,23_yAKldzmCJN.jpg,"胡蘿蔔的營養，講也講不完，不愛胡蘿蔔的民眾，不妨可以動手製作胡蘿蔔蔬果汁，餐後來上一杯，清爽解油膩、健康滿分。 

",2023/11/26,4
40,玫瑰蘋果派,13_QAAiizEIQZ.jpeg,衛生福利部的每日飲食指南建議一日水果為2-4份，一般可攝取2份水果即可，市售的富士蘋果大多1顆即達2份。你知道嗎?有時候蘋果也能做成小點心呢！,2022/6/3,5
41,牛蒡吻仔魚燉飯,4_IDKqtczFFo.jpg,牛蒡吻仔魚燉飯是一種以牛蒡和吻仔魚為主要材料，搭配米飯製作而成的燉飯。這道料理結合了牛蒡的清爽口感和吻仔魚的鮮香，是一道風味獨特的台灣經典料理。,2023/11/26,1
42,蘆筍肉捲佐梅子醬,50_YjbZXykVqB.jpg,蘆筍肉捲佐梅子醬是一道美味而特色的料理，結合了新鮮的蘆筍、嫩肉和梅子醬的風味。,2022/6/3,2
43,搖搖蜂蜜檸檬愛玉凍,33_HKiBBtWiOy.jpg,搖搖蜂蜜檸檬愛玉凍是一道清涼可口的甜品，結合了蜂蜜、檸檬和愛玉，呈現出豐富的口感和風味。,2023/5/8,5
44,小黃瓜飲品,1_iKkfUcuLAT.jpg,小黃瓜飲品是一種清新爽口的飲品，通常以新鮮的小黃瓜為主要成分，搭配其他水果或調味料製成。這種飲品不僅美味，還具有消暑解渴的效果。利用小黃瓜的清爽及含水量高的特性，搭配抹茶含的多酚兒茶素和奇異果維生素C，除了解渴外，還能夠抗氧化，且優酪乳能夠增加腸道好菌，養好健康的腸道環境！喝完肚子會很有感，可以清除宿便唷~,2021/12/9,4
45,葡萄銀耳飲,35_lfaQHEDvLy.jpeg,葡萄銀耳飲是一種以葡萄和銀耳為主要成分，製成的涼爽飲品。這種飲品不僅口感清新，而且富含營養。,2022/1/17,4
46,低油菠菜青糰,43_KjffMprfRY.jpg,「青糰」是清明時節常吃的傳統美食，翠綠、軟Q的青糰在台灣為俗稱的草仔粿。草仔粿在製作過程中往往需要添加許多的油脂，所以小小一顆熱量卻不低!,2023/9/14,5
47,古早味芝麻燒,44_KztjGweVpY.jpg,古早味芝麻燒是一種傳統的中式點心，以芝麻為主要材料，外皮酥脆，內餡香甜。,2021/4/30,5
48,清蒸比目魚,25_RowlULrKws.jpg,清蒸比目魚是一道簡單而健康的海鮮料理，突顯新鮮比目魚的鮮美口感。,2023/2/28,1
49,檸檬奶油干貝,47_FmpcTYkgei.jpg,檸檬奶油干貝是一道美味的海鮮料理，融合了檸檬的清新酸味和奶油的濃郁香氣，為干貝帶來豐富的風味。,2022/8/5,1
50,熱炒小卷,40_cftijOfagi.jpg,小卷又稱小管、透抽、鎖管，主要產在夏、秋兩個季節，是台灣人喜歡的海鮮。 小卷含豐富蛋白質、維生素E、鋅，低脂肪、低熱量，是有益身體健康的好食材。,2022/8/6,1
